"DirectedEdge[1548, 7336]","DirectedEdge[7336, 1548]","{3, 2}"
"DirectedEdge[488, 3499]","DirectedEdge[3499, 488]","{13, 30}"
"DirectedEdge[720, 6195]","DirectedEdge[6195, 720]","{1, 1}"
"DirectedEdge[1440, 6195]","DirectedEdge[6195, 1440]","{1, 1}"
"DirectedEdge[5526, 2504]","DirectedEdge[2504, 5526]","{2, 18}"
"DirectedEdge[548, 460]","DirectedEdge[460, 548]","{39, 1}"
"DirectedEdge[532, 3401]","DirectedEdge[3401, 532]","{39, 4}"
"DirectedEdge[720, 3436]","DirectedEdge[3436, 720]","{24, 2}"
"DirectedEdge[989, 3436]","DirectedEdge[3436, 989]","{24, 2}"
"DirectedEdge[1380, 950]","DirectedEdge[950, 1380]","{5, 1}"
"DirectedEdge[488, 1754]","DirectedEdge[1754, 488]","{10, 7}"
"DirectedEdge[3041, 4107]","DirectedEdge[4107, 3041]","{2, 1}"
"DirectedEdge[1003, 130]","DirectedEdge[130, 1003]","{7, 1}"
"DirectedEdge[488, 918]","DirectedEdge[918, 488]","{6, 2}"
"DirectedEdge[488, 2]","DirectedEdge[2, 488]","{194, 1}"
"DirectedEdge[2727, 185]","DirectedEdge[185, 2727]","{1, 1}"
"DirectedEdge[5128, 457]","DirectedEdge[457, 5128]","{7, 1}"
"DirectedEdge[2701, 477]","DirectedEdge[477, 2701]","{11, 2}"
"DirectedEdge[488, 340]","DirectedEdge[340, 488]","{14, 1}"
"DirectedEdge[488, 1040]","DirectedEdge[1040, 488]","{33, 5}"
"DirectedEdge[7272, 1318]","DirectedEdge[1318, 7272]","{6, 1}"
"DirectedEdge[57, 933]","DirectedEdge[933, 57]","{19, 1}"
"DirectedEdge[4548, 6807]","DirectedEdge[6807, 4548]","{5, 4}"
"DirectedEdge[488, 6807]","DirectedEdge[6807, 488]","{4, 10}"
"DirectedEdge[3260, 3579]","DirectedEdge[3579, 3260]","{15, 9}"
"DirectedEdge[2492, 3579]","DirectedEdge[3579, 2492]","{8, 1}"
"DirectedEdge[1234, 928]","DirectedEdge[928, 1234]","{2, 1}"
"DirectedEdge[1131, 118]","DirectedEdge[118, 1131]","{72, 3}"
"DirectedEdge[391, 122]","DirectedEdge[122, 391]","{1, 1}"
"DirectedEdge[488, 2519]","DirectedEdge[2519, 488]","{4, 58}"
"DirectedEdge[130, 771]","DirectedEdge[771, 130]","{2, 1}"
"DirectedEdge[8617, 3579]","DirectedEdge[3579, 8617]","{2, 1}"
"DirectedEdge[3617, 8160]","DirectedEdge[8160, 3617]","{6, 1}"
"DirectedEdge[2812, 8160]","DirectedEdge[8160, 2812]","{6, 4}"
"DirectedEdge[1304, 8160]","DirectedEdge[8160, 1304]","{3, 2}"
"DirectedEdge[8160, 2812]","DirectedEdge[2812, 8160]","{4, 6}"
"DirectedEdge[3260, 1304]","DirectedEdge[1304, 3260]","{13, 2}"
"DirectedEdge[204, 1304]","DirectedEdge[1304, 204]","{11, 3}"
"DirectedEdge[982, 1179]","DirectedEdge[1179, 982]","{6, 56}"
"DirectedEdge[488, 5967]","DirectedEdge[5967, 488]","{2, 1}"
